date;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_filtration_5 Marche hivernage;CE_hivernage_0 Arret;CE_hivernage_2 Actif activé;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_volet_0 Position ouvert;CE_volet_1 position fermé;airTemp;waterTemp;baignade
2022-07-11 16:12:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.233376;28.299999;1
2022-07-11 16:14:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:16:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:18:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:20:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:22:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:24:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:26:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:28:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.352165;28.299999;1
2022-07-11 16:30:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:32:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:34:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:36:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:38:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:40:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:42:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.5;28.299999;1
2022-07-11 16:44:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:46:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:48:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:50:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:52:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:54:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:56:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 16:58:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;33.517239;28.299999;1
2022-07-11 17:00:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;33.75153;28.2495;1
2022-07-11 17:56:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;33.749081;28.450287;0
2022-07-11 19:00:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:02:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:04:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:06:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:08:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:10:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:12:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.700306;27.66683;1
2022-07-11 19:14:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:16:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:18:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:20:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:22:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:24:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:26:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:28:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.317627;27.467041;1
2022-07-11 19:30:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.818085;27.250889;1
2022-07-11 19:32:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.818085;27.250889;1
2022-07-11 19:34:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.818085;27.250889;1
2022-07-11 19:36:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.818085;27.250889;1
2022-07-11 19:38:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.818085;27.250889;1
2022-07-11 19:40:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.818085;27.250889;1
2022-07-11 19:58:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.38541;27.034204;0
2022-07-11 20:32:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;27.703278;26.151661;0
2022-07-11 21:52:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;25.65299;24.704008;0
2022-07-12 00:36:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;23.055172;21.903463;0
2022-07-12 00:50:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;22.770281;21.655521;0
2022-07-12 04:06:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;20.219517;19.752922;0
2022-07-12 04:40:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;20.0;19.519878;0
2022-07-12 05:24:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;19.9;19.25346;0
2022-07-12 07:54:00;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;26.963718;26.5;0
2022-07-12 08:16:00;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;30.615589;26.645481;0
2022-07-12 11:10:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;35.078331;28.244593;0
2022-07-12 11:36:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;35.177834;28.299999;0
2022-07-12 13:56:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.722797;28.510441;0
2022-07-12 14:26:00;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;33.643425;28.710215;0
2022-07-12 17:42:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;34.673073;29.5;0
2022-07-12 17:52:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;34.448952;29.5;0
2022-07-12 19:16:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;30.099789;27.958233;0
2022-07-12 19:32:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;29.283203;27.449963;0
2022-07-12 20:10:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;27.708536;26.391855;0
2022-07-12 21:16:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;25.742868;24.67625;0
2022-07-12 22:48:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;24.185301;22.985312;0
2022-07-12 23:14:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;23.685532;22.518883;0
2022-07-13 00:16:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;23.685532;22.518883;0
2022-07-13 06:20:00;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;23.685532;22.518883;0
2022-07-13 07:36:00;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;23.685532;22.518883;0
2022-07-13 08:20:00;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;23.685532;22.518883;0
2022-07-13 08:30:00;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;23.685532;22.518883;0
2022-07-13 10:36:00;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;23.685532;22.518883;0
2022-07-13 12:30:00;1;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1;1;85.0;85.0;0
2022-07-13 13:18:00;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1;1;85.0;85.0;0
