date;type;value
2021-12-02 18:15:00;airTemp;6.8022857
2021-12-02 18:30:00;airTemp;6.6712723
2021-12-02 18:45:00;airTemp;6.5689859
2021-12-02 19:00:00;airTemp;6.4700675
2021-12-02 19:15:00;airTemp;6.3700762
2021-12-02 19:30:00;airTemp;6.3000002
2021-12-02 19:45:00;airTemp;6.1102753
2021-12-02 20:00:00;airTemp;5.840199
2021-12-02 20:15:00;airTemp;5.8000002
2021-12-02 20:30:00;airTemp;5.766664
2021-12-02 20:45:00;airTemp;5.7666636
2021-12-02 21:00:00;airTemp;5.8954678
2021-12-02 21:15:00;airTemp;5.9000001
2021-12-02 21:30:00;airTemp;5.9943824
2021-12-02 21:45:00;airTemp;6.0
2021-12-02 22:00:00;airTemp;6.0610232
2021-12-02 22:15:00;airTemp;6.0999999
2021-12-02 22:30:00;airTemp;6.0999999
2021-12-02 22:45:00;airTemp;6.1599207
2021-12-02 23:00:00;airTemp;6.1666608
2021-12-02 23:15:00;airTemp;6.1070466
2021-12-02 23:30:00;airTemp;6.0743208
2021-12-02 23:45:00;airTemp;5.8488293
2021-12-03 00:00:00;airTemp;5.7078466
2021-12-03 00:15:00;airTemp;5.6999998
2021-12-03 00:30:00;airTemp;5.6999998
2021-12-03 00:45:00;airTemp;5.6665268
2021-12-03 01:00:00;airTemp;5.7580428
2021-12-03 01:15:00;airTemp;5.8000002
2021-12-03 01:30:00;airTemp;5.7333279
2021-12-03 01:45:00;airTemp;5.708961
2021-12-03 02:00:00;airTemp;5.7576938
2021-12-03 02:15:00;airTemp;5.7333274
2021-12-03 02:30:00;airTemp;5.8000002
2021-12-03 02:45:00;airTemp;5.7100153
2021-12-03 03:00:00;airTemp;5.6100693
2021-12-03 03:15:00;airTemp;5.5999999
2021-12-03 03:30:00;airTemp;5.5999999
2021-12-03 03:45:00;airTemp;5.5101252
2021-12-03 04:00:00;airTemp;5.5
2021-12-03 04:15:00;airTemp;5.5333385
2021-12-03 04:30:00;airTemp;5.5333395
2021-12-03 04:45:00;airTemp;5.5554714
2021-12-03 05:00:00;airTemp;5.5778708
2021-12-03 05:15:00;airTemp;5.4778805
2021-12-03 05:30:00;airTemp;5.4000001
2021-12-03 05:45:00;airTemp;5.4000001
2021-12-03 06:00:00;airTemp;5.4000001
2021-12-03 06:15:00;airTemp;5.345645
2021-12-03 06:30:00;airTemp;5.2456541
2021-12-03 06:45:00;airTemp;5.0932264
2021-12-03 07:00:00;airTemp;4.8934855
2021-12-03 07:15:00;airTemp;4.8666739
2021-12-03 07:30:00;airTemp;4.9731359
2021-12-03 07:45:00;airTemp;5.0
2021-12-03 08:00:00;airTemp;5.0671883
2021-12-03 08:15:00;airTemp;5.0854883
2021-12-03 08:30:00;airTemp;5.2564092
2021-12-03 08:45:00;airTemp;5.4702997
2021-12-03 09:00:00;airTemp;5.7362566
2021-12-03 09:15:00;airTemp;6.0378485
2021-12-03 09:30:00;airTemp;6.3708143
2021-12-03 18:30:00;waterTemp;4.7600818
2021-12-03 18:45:00;waterTemp;4.6934304
2021-12-03 19:00:00;waterTemp;4.5939279
2021-12-03 19:15:00;waterTemp;4.4611826
2021-12-03 19:30:00;waterTemp;4.3666639
2021-12-03 19:45:00;waterTemp;4.3278642
2021-12-03 20:00:00;waterTemp;4.3000002
2021-12-03 20:15:00;waterTemp;4.3000002
2021-12-03 20:30:00;waterTemp;4.3710303
2021-12-03 20:45:00;waterTemp;4.4000001
2021-12-03 21:00:00;waterTemp;4.4709787
2021-12-03 21:15:00;waterTemp;4.5365911
2021-12-03 21:30:00;waterTemp;4.5999999
2021-12-03 21:45:00;waterTemp;4.5999999
2021-12-03 22:00:00;waterTemp;4.6365609
2021-12-03 22:15:00;waterTemp;4.6999998
2021-12-03 22:30:00;waterTemp;4.7354779
2021-12-03 22:45:00;waterTemp;4.8042612
2021-12-03 23:00:00;waterTemp;5.0
2021-12-03 23:15:00;waterTemp;5.0354519
2021-12-03 23:30:00;waterTemp;5.101119
2021-12-03 23:45:00;waterTemp;5.234374
2021-12-04 00:00:00;waterTemp;5.3010244
2021-12-04 00:15:00;waterTemp;5.4000001
2021-12-04 00:30:00;waterTemp;5.3962641
2021-12-04 00:45:00;waterTemp;5.5039186
2021-12-04 01:00:00;waterTemp;5.5999284
2021-12-04 01:15:00;waterTemp;5.6999159
