date;Evènement;Etat
2021-12-11 04:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 04:38:00;Changement état de hivernage;3 inconnu
2021-12-11 04:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 05:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 05:23:00;Changement état de hivernage;4 inconnu
2021-12-11 05:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 05:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 05:38:00;Changement état de hivernage;3 inconnu
2021-12-11 05:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 06:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 06:23:00;Changement état de hivernage;4 inconnu
2021-12-11 06:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 06:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 06:38:00;Changement état de hivernage;3 inconnu
2021-12-11 06:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 07:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 07:23:00;Changement état de hivernage;4 inconnu
2021-12-11 07:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 07:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 07:38:00;Changement état de hivernage;3 inconnu
2021-12-11 07:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 08:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 08:23:00;Changement état de hivernage;4 inconnu
2021-12-11 08:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 08:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 08:38:00;Changement état de hivernage;3 inconnu
2021-12-11 08:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 09:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-11 09:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 09:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 09:23:00;Changement état de hivernage;4 inconnu
2021-12-11 09:33:14;Changement d’état de la filtration;1 Marche AUTO
2021-12-11 09:33:14;Changement état de hivernage;2 Actif activé
2021-12-11 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-11 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-12 09:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-12 09:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-12 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-12 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-12 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-12 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-12 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-12 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-13 09:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-13 09:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-13 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-13 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-13 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-13 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-13 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-13 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-14 09:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-14 09:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-14 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-14 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-14 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-14 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-14 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-14 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-15 10:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-15 10:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-15 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-15 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-15 14:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-15 14:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-15 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-15 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-16 10:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-16 10:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-16 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
