date;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;waterTemp;airTemp
2022-07-06 19:52:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.829102;27.16782
2022-07-06 19:54:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.829102;27.16782
2022-07-06 19:56:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.829102;27.16782
2022-07-06 19:58:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.829102;27.16782
2022-07-06 20:00:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:02:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:04:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:06:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:08:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:10:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:12:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.505941;26.558842
2022-07-06 20:14:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:16:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:18:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:20:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:22:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:24:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:26:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:28:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;25.129673;25.869162
2022-07-06 20:30:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:32:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:34:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:36:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:38:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:40:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:42:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.829929;25.259823
2022-07-06 20:44:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:46:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:48:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:50:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:52:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:54:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:56:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 20:58:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.417009;24.840256
2022-07-06 21:00:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:02:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:04:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:06:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:08:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:10:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:12:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;24.007406;24.317516
2022-07-06 21:14:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:16:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:18:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:20:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:22:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:24:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:26:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:28:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.607618;23.851156
2022-07-06 21:30:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:32:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:34:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:36:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:38:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:40:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:42:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;23.207981;23.407959
2022-07-06 21:44:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 21:46:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 21:48:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
